id,name,groupId,artifactId,version,repoName,repoUrl,scope,pluginName
bstats,bStats,org.bstats,bstats-bukkit,2.2.1,spigot-public,https://hub.spigotmc.org/nexus/content/groups/public/,compile,,
jetbrains-annotations,JetBrains Annotations,org.jetbrains,annotations,RELEASE,,,provided,,
jefflib,JeffLib,de.jeff_media,JeffLib,2.0-SNAPSHOT,jeff-media-gbr,https://repo.jeff-media.de/maven2/,compile,,
updatechecker,UpdateChecker,de.jeff_media,SpigotUpdateChecker,2.3.4,jeff-media-gbr,https://repo.jeff-media.de/maven2/,compile,,Included in JeffLib
customblockdata,CustomBlockData,de.jeff_media,CustomBlockData,1.0-SNAPSHOT,jeff-media-gbr,https://repo.jeff-media.de/maven2/,compile,,Included in JeffLib
worldedit,WorldEdit 7,com.sk89q.worldedit,worldedit-bukkit,7.2.0-SNAPSHOT,enginehub-maven,https://maven.enginehub.org/repo/,provided,WorldEdit,MC 1.13+
worldedit-legacy,WorldEdit 6,com.sk89q.worldedit,worldedit-bukkit,6.1.4-SNAPSHOT,enginehub-maven,https://maven.enginehub.org/repo/,provided,WorldEdit,MC 1.12.2 and below
worldguard,WorldGuard 7,com.sk89q.worldguard,worldguard-bukkit,7.0.5-SNAPSHOT,enginehub-maven,https://maven.enginehub.org/repo/,provided,WorldGuard,MC 1.13+
worldguard-legacy,WorldGuard 6,com.sk89q.worldguard,worldguard-bukkit,6.2.2-SNAPSHOT,enginehub-maven,https://maven.enginehub.org/repo/,provided,WorldGuard,MC 1.12.2 and below
placeholderapi,PlaceholderAPI,me.clip,placeholderapi,2.10.9,placeholderapi,http://repo.extendedclip.com/content/repositories/placeholderapi/,provided,PlaceholderAPI,
paperlib,PaperLib,io.papermc,paperlib,1.0.6,papermc,https://papermc.io/repo/repository/maven-public/,compile,,
vault,Vault,com.github.MilkBowl,VaultAPI,1.7,jitpack.io,https://jitpack.io,provided.io,Vault,